Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 13:11:00,216.2886047,186.9600067,178.5,439.519989
2024-06-12 13:12:00,216.5084991,187.0500031,178.5299988,439.5700073
2024-06-12 13:13:00,216.7100067,186.9799957,178.5200043,439.480011
2024-06-12 13:14:00,217.1100006,187.0229034,178.5,439.480011
2024-06-12 13:15:00,217,186.9700012,178.4299927,439.6499939
2024-06-12 13:16:00,216.9485931,187.0200043,178.5099945,439.8349915
2024-06-12 13:17:00,216.8500061,187.0249939,178.5549927,440.0422974
2024-06-12 13:18:00,216.9586029,186.9949951,178.5500031,439.9144897
2024-06-12 13:19:00,216.8527985,187.0399933,178.4179993,439.9305115
2024-06-12 13:20:00,216.8999939,187.0700073,178.4299927,439.8450012
2024-06-12 13:21:00,216.9799957,187.0299988,178.4154968,440.019989
2024-06-12 13:22:00,217.0200043,187.0700073,178.4499969,440.1400146
2024-06-12 13:23:00,216.9799957,187.0700073,178.4441986,440.0299988
2024-06-12 13:24:00,217.0401001,187.1401062,178.5,440.1408997
2024-06-12 13:25:00,217.1649933,187.1549988,178.5549927,440.3049927
2024-06-12 13:26:00,217.1300049,187.1999969,178.5599976,440.269989
2024-06-12 13:27:00,217.2799988,187.1688995,178.5099945,440.1549988
2024-06-12 13:28:00,217.2400055,187.0899963,178.5399017,440.0212097
2024-06-12 13:29:00,216.9299927,187.0200043,178.4900055,439.8062134
2024-06-12 13:30:00,216.7279968,186.8800049,178.4600067,439.5900879
2024-06-12 13:31:00,216.6062012,186.7250061,178.4499969,439.5700073
2024-06-12 13:32:00,216.4900055,186.6900024,178.3300018,439.2900085
2024-06-12 13:33:00,216.6100006,186.7799988,178.4299927,439.4148865
2024-06-12 13:34:00,216.8401031,186.7993011,178.5095978,439.4200134
2024-06-12 13:35:00,217.1605988,186.8800049,178.5500031,439.6149902
2024-06-12 13:36:00,217.0850067,186.8150024,178.5514984,439.4100037
2024-06-12 13:37:00,217.1042938,186.7799988,178.5700073,439.4100037
